policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7006,-310.1,4.233333333333333,1.1,20,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7007,-365.00000000000006,4.9,1.3666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7008,-242.89999999999998,3.35,0.9833333333333333,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7009,-316.0,4.283333333333333,1.1166666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7010,-273.99999999999994,3.7,1.0,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7011,-220.89999999999998,3.15,0.8,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7012,-380.00000000000006,5.166666666666667,1.3333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7013,-264.09999999999997,3.6,0.9833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7014,-330.0,4.5,1.15,20,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7015,-245.89999999999998,3.316666666666667,0.9166666666666666,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7016,-250.99999999999994,3.3833333333333333,1.0,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7017,-234.89999999999998,3.216666666666667,0.8833333333333333,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7018,-216.99999999999997,2.95,0.8666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7019,-247.89999999999998,3.3666666666666667,1.0,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7020,-317.00000000000006,4.35,1.1166666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7021,-301.1,4.083333333333333,1.1666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7022,-232.99999999999997,3.066666666666667,0.9333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7023,-181.89999999999998,2.4833333333333334,0.7333333333333333,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7024,-166.89999999999998,2.2666666666666666,0.6833333333333333,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7025,-278.99999999999994,3.8833333333333333,1.0166666666666666,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7026,-251.99999999999997,3.466666666666667,0.9333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7027,-471.9000000000001,6.416666666666667,1.5833333333333333,18,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7028,-305.9,4.2,1.1,17,60
sueno,dream,models/checkpoints/controller/best_model_seed2.zip,7029,-571.1,7.633333333333334,2.05,20,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7000,-181.19999999999996,2.466666666666667,0.7666666666666667,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7001,-307.20000000000005,4.316666666666666,1.1,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7002,-314.8,4.266666666666667,1.1666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7003,-289.9,4.0,0.9666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7004,-763.1000000000003,10.266666666666667,2.683333333333333,23,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7005,-419.9,5.916666666666667,1.2666666666666666,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7006,-713.3000000000002,10.1,1.9166666666666667,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7007,-274.1,3.8666666666666667,0.9166666666666666,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7008,-283.1,3.95,1.0,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7009,-177.09999999999997,2.3666666666666667,0.7166666666666667,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7010,-327.8,4.5,1.1166666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7011,-186.79999999999998,2.6333333333333333,0.7,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7012,-679.9000000000003,9.15,2.3333333333333335,21,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7013,-297.0,4.1,1.0,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7014,-298.8,4.033333333333333,1.0833333333333333,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7015,-203.99999999999997,2.85,0.7666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7016,-454.0000000000001,6.383333333333334,1.3666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7017,-122.79999999999998,1.7166666666666666,0.5,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7018,-309.20000000000005,4.35,1.05,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7019,-197.09999999999997,2.65,0.7833333333333333,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7020,-180.09999999999997,2.4,0.7666666666666667,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7021,-228.19999999999996,3.05,0.9666666666666667,19,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7022,-191.89999999999998,2.683333333333333,0.6833333333333333,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7023,-190.89999999999995,2.5,0.8,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7024,-411.50000000000017,5.55,1.4,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7025,-156.99999999999997,2.183333333333333,0.6666666666666666,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7026,-556.2,7.8,1.7,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7027,-278.8,3.8833333333333333,0.95,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7028,-374.00000000000006,5.283333333333333,1.1666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed0/best_model.zip,7029,-458.20000000000016,6.383333333333334,1.4333333333333333,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7000,-193.19999999999996,2.65,0.7833333333333333,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7001,-394.2000000000001,5.55,1.25,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7002,-315.00000000000006,4.266666666666667,1.1666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7003,-161.29999999999995,2.2333333333333334,0.65,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7004,-763.3000000000003,10.266666666666667,2.683333333333333,23,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7005,-348.2000000000001,4.833333333333333,1.1666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7006,-399.9000000000002,5.6,1.25,18,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7007,-286.9,4.066666666666666,0.9333333333333333,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7008,-448.1,6.316666666666666,1.3666666666666667,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7009,-193.99999999999997,2.5833333333333335,0.8,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7010,-330.4000000000001,4.466666666666667,1.2333333333333334,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7011,-362.20000000000016,5.0,1.2333333333333334,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7012,-239.59999999999994,3.2,0.9333333333333333,19,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7013,-287.3,3.933333333333333,1.0,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7014,-554.4000000000001,7.766666666666667,1.65,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7015,-387.10000000000014,5.466666666666667,1.1166666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7016,-443.30000000000007,6.2,1.3666666666666667,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7017,-389.30000000000007,5.5,1.2,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7018,-320.40000000000003,4.516666666666667,1.0666666666666667,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7019,-311.40000000000003,4.366666666666666,1.0166666666666666,16,60
